table_name,column_name,datatype,description
nftables,fullkey,text,"Flattened full key with '/' as separator, e.g. `nftables/0/metainfo/json_schema_version`."
nftables,parent,text,Parent key when keys are nested in the document.
nftables,key,text,JSON key or array index.
nftables,value,text,JSON value
nftables,query,text,"Specifies a query to flatten with. This is used both for re-writing arrays into maps, and for filtering."
crontab,pid_with_namespace,,
docker_containers,cgroup_namespace,,
docker_containers,ipc_namespace,,
docker_containers,mnt_namespace,,
docker_containers,net_namespace,,
docker_containers,pid_namespace,,
docker_containers,privileged,,Is the container [privileged](https://docs.docker.com/engine/reference/run/#runtime-privilege-and-linux-capabilities)
docker_containers,user_namespace,,
docker_containers,uts_namespace,,
parse_json,path,text,Path of the file to read.
parse_json,fullkey,text,Same as `key` in this table. See `parse_jsonl` where multiple JSON documents are supported.
parse_json,parent,text,Parent key when keys are nested in the document.
parse_json,key,text,JSON key or array index.
parse_json,value,text,JSON value
app_icons,path,text,The icon's path.
app_icons,icon,text,The icon.
app_icons,hash,text,The icon's hash.
certificates,sid,,
certificates,store_location,,
certificates,store,,
certificates,username,,
certificates,store_id,,
certificates,issuer2,,
certificates,subject2,,
process_file_events,operation,text,Operation type
process_file_events,pid,bigint,Process ID
process_file_events,ppid,bigint,Parent process ID
process_file_events,time,bigint,Time of execution in UNIX time
process_file_events,executable,text,The executable path
process_file_events,partial,text,True if this is a partial event (i.e.: this process existed before we started osquery)
process_file_events,cwd,text,The current working directory of the process
process_file_events,path,text,The path associated with the event
process_file_events,dest_path,text,The canonical path associated with the event
process_file_events,uid,text,The uid of the process performing the action
process_file_events,gid,text,The gid of the process performing the action
process_file_events,auid,text,Audit user ID of the process using the file
process_file_events,euid,text,Effective user ID of the process using the file
process_file_events,egid,text,Effective group ID of the process using the file
process_file_events,fsuid,text,Filesystem user ID of the process using the file
process_file_events,fsgid,text,Filesystem group ID of the process using the file
process_file_events,suid,text,Saved user ID of the process using the file
process_file_events,sgid,text,Saved group ID of the process using the file
process_file_events,uptime,bigint,Time of execution in system uptime
process_file_events,eid,text,Event ID
parse_jsonl,path,text,Path of the file to read.
parse_jsonl,fullkey,text,Key including any parent keys or document indices.
parse_jsonl,parent,text,Parent key when keys are nested in the document.
parse_jsonl,key,text,INI key
parse_jsonl,value,text,INI value
corestorage_logical_volume_families,vg_UUID,text,The unique identifier of the containing volume group
corestorage_logical_volume_families,vg_Version,integer,"The version of the volume group, probably 1"
corestorage_logical_volume_families,vg_FreeSpace,bigint,"Amount of space, in bytes, in the volume group that have not been allocated by any logical volume"
corestorage_logical_volume_families,vg_FusionDrive,integer,"Whether the volume group is a ""fusion drive"" (i.e. SSHD)"
corestorage_logical_volume_families,vg_Name,text,The customizable name of the volume group
corestorage_logical_volume_families,vg_Sequence,bigint,Current sequence number of the volume group
corestorage_logical_volume_families,vg_Size,bigint,Total (i.e. either allocated or unallocated) size of the volume group
corestorage_logical_volume_families,vg_Sparse,integer,Whether the volume group allows overcommitting storage
corestorage_logical_volume_families,vg_Status,text,"Status of the volume group, e.g. ""Online"""
corestorage_logical_volume_families,UUID,text,Unique ID of the logical volume family
corestorage_logical_volume_families,EncryptionStatus,text,"Unlock status of the logical volume family, e.g. ""Locked"" or ""Unlocked"""
corestorage_logical_volume_families,EncryptionType,text,"Encryption algorithm for the logical volume family, normally ""AES-XTS"" or ""None"""
corestorage_logical_volume_families,HasVisibleUsers,integer,Undocumented field returned from `diskutil cs info`
corestorage_logical_volume_families,HasVolumeKey,integer,Whether there is an encryption key assigned for the logical volume
corestorage_logical_volume_families,IsAcceptingNewUsers,integer,Whether new users may be granted access to the logical volume family encryption key
corestorage_logical_volume_families,IsFullySecure,integer,Undocumented field returned from `diskutil cs info`
corestorage_logical_volume_families,MayHaveEncryptedEvents,integer,Undocumented field returned from `diskutil cs info`
corestorage_logical_volume_families,RequiresPasswordUnlock,integer,Whether a password is currently required to unlock the volume
puppet_state,title,text,The name of the resource.
puppet_state,file,text,The file that contains the resource.
puppet_state,line,text,The line on which the resource is specified.
puppet_state,resource,text,The resource and its title as `Type[title]`.
puppet_state,resource_type,text,The resource type.
puppet_state,evaluation_time,text,The amount of seconds it took to evaluate the resource.
puppet_state,failed,text,"If Puppet failed to evaluate this resource, this column is `true`."
puppet_state,changed,text,"If `change_count` is above `0`, this is `true`."
puppet_state,out_of_sync,text,"If `out_of_sync_count` is above `0`, this is `true`."
puppet_state,skipped,text,True if this resource was skipped.
puppet_state,change_count,text,The count of changes to be performed.
puppet_state,out_of_sync_count,text,The number of properties that are out of sync
puppet_state,corrective_change,text,True if a change on the system caused unexpected changes between two Puppet runs.
rpm_packages,pid_with_namespace,,
rpm_packages,mount_namespace_id,,
google_chrome_profiles,email,text,"Email address linked to the Google account this profile uses, if any."
google_chrome_profiles,ephemeral,boolean,Boolean indicating if the profile is ephemeral or not.
google_chrome_profiles,name,text,Name of the Chrome profile.
google_chrome_profiles,username,text,Operating system level username of the account where this profile is located.
codesign,path,text,Path is the absolute path to the app folder.
codesign,team_identifier,text,Unique 10-character string generated by Apple that's assigned to a developer account to sign packages. This value is empty on unsigned applications and built-in Apple applications.
codesign,cdhash_sha256,text,cdhash_sha256 is the SHA256 hash returned by codesign of the code directory for the macOS app or executable. It is a unique identifier for the code signature of the app.
nvram_info,amfi_enabled,integer,"Apple Mobile File Integrity (AMFI) was first released in macOS 10.12. The daemon and service block attempts to run unsigned code. AMFI uses lanchd, code signatures, certificates, entitlements, and provisioning profiles to create a filtered entitlement dictionary for an app. AMFI is the macOS kernel module that enforces code-signing and library validation. Note: AMFI cannot be disabled with SIP enabled, but a change attempt can be made that will appear successful, and report incorrectly as successful. If the AMFI audit fails, and the SIP audit passes, this is still an issue the admin should research."
xprotect_meta,identifier,,Browser extension or plugin [identifier](https://fleetdm.com/tables/safari_extensions)
xprotect_meta,min_version,,"The minimum allowed plugin version, or 'any' if no version is allowed."
deb_packages,pid_with_namespace,,
deb_packages,mount_namespace_id,,
chrome_extensions,uid,,
chrome_extensions,profile,,
chrome_extensions,profile_path,,
chrome_extensions,referenced_identifier,,
chrome_extensions,default_locale,,
chrome_extensions,current_locale,,
chrome_extensions,author,,
chrome_extensions,persistent,,
chrome_extensions,path,text,Path to extension folder. Defaults to '' on ChromeOS
chrome_extensions,optional_permissions,,
chrome_extensions,optional_permissions_json,,
chrome_extensions,manifest_hash,,
chrome_extensions,referenced,,
chrome_extensions,from_webstore,,
chrome_extensions,state,text,
chrome_extensions,install_time,,
chrome_extensions,install_timestamp,,
chrome_extensions,manifest_json,,
chrome_extensions,key,,
crashes,uid,,
shell_history,uid,,
falcon_kernel_check,kernel,text,Version of the host's kernel.
falcon_kernel_check,supported,text,Whether or not the host's kernel supports the Crowdstrike Falcon sensor version.
falcon_kernel_check,sensor_version,text,Version of the Crowdstrike Falcon's sensor.
cryptsetup_status,name,text,The name of the drive.
cryptsetup_status,key,text,A specific item that describes the drive.
cryptsetup_status,value,text,The value for the specified key.
cryptsetup_status,fullkey,text,The expanded name of the specific item that describes the drive.
cryptsetup_status,parent,text,The key's parent.
cryptsetup_status,query,text,"The query is printed in this column. For example the SQL `SELECT * FROM cryuptsetup_status WHERE name = 'LUKS_DRIVE'` will print ""*"" in the query column."
firefox_addons,uid,,
orbit_info,version,text,Version of the orbit instance.
orbit_info,device_auth_token,text,Current Fleet Desktop token in the instance.
orbit_info,enrolled,text,Returns whether the Orbit instance is enrolled to Fleet (true/false).
orbit_info,last_recorded_error,text,Last recorded error in Orbit.
orbit_info,orbit_channel,text,The Update Framework update channel used for the orbit executable.
orbit_info,osqueryd_channel,text,The Update Framework update channel used for the osqueryd executable.
orbit_info,desktop_channel,text,The Update Framework update channel used for the Fleet Desktop executable.
orbit_info,desktop_version,text,The version of the fleet-desktop instance. Blank if fleet-desktop is not installed.
orbit_info,uptime,bigint,Uptime of the orbit process in seconds.
orbit_info,scripts_enabled,integer,"1 if running scripts is enabled, 0 if disabled."
orbit_info,update_url,text,The Update Framework server URL.
hash,pid_with_namespace,,
hash,mount_namespace_id,,
safari_extensions,uid,,
apfs_physical_stores,container_uuid,text,The UUID of the APFS Contianer
apfs_physical_stores,container_designated_physical_store,text,"The disk displayed as the backing store of the container. There may be multiple, use `apfs_physical_stores` to see all actual physical stores"
apfs_physical_stores,container_reference,text,"The current reference for the APFS container, e.g. ""disk3"""
apfs_physical_stores,container_fusion,text,"Whether this container is on a ""fusion drive"" (i.e. SSHD)"
apfs_physical_stores,container_capacity_ceiling,bigint,The total amount of space in the container
apfs_physical_stores,container_capacity_free,bigint,The amount of remaining free space in the container
apfs_physical_stores,uuid,text,The UUID of the physical store
apfs_physical_stores,identifier,text,The current identifier of the physical store (e.g. disk1s2)
apfs_physical_stores,size,bigint,The size of the physical store in byptes
mdm,access_rights,integer,The access rights of the payload. The resulting number is the total of every [AccessRight](https://developer.apple.com/documentation/devicemanagement/mdm) added up.
mdm,checkin_url,text,"The URL the Mac checks in with, which should point to your MDM server."
mdm,dep_capable,text,"Indicates if the computer is DEP capable or not, even if it is not currently enrolled into MDM."
mdm,enrolled,text,Indicates if the computer is enrolled into MDM.
mdm,has_scep_payload,text,Indicates if the computer has a certificate used by the MDM server to authenticate it.
mdm,identity_certificate_uuid,text,The [UUID](https://en.wikipedia.org/wiki/Universally_unique_identifier) of the [SCEP](https://en.wikipedia.org/wiki/Simple_Certificate_Enrollment_Protocol) certificate.
mdm,install_date,text,The date on which the MDM payload was installed on the Mac.
mdm,installed_from_dep,text,Indicates if the MDM payload was installed via DEP or not.
mdm,payload_identifier,text,The identifier of the MDM payload.
mdm,server_url,text,The URL of the MDM server used by this computer.
mdm,sign_message,text,Indicates if messages sent and received from the MDM server must be signed.
mdm,topic,text,The topic MDM listens to for push notifications.
mdm,user_approved,text,Indicates if this MDM payload was approved by the user.
filevault_status,status,text,FileVault status.
system_controls,field_name,,
account_policy_data,uid,BIGINT,[User ID](https://superuser.com/a/1108201)
keychain_items,created,,Date item was created
bitlocker_key_protectors,drive_letter,text,The drive letter of the volume.
bitlocker_key_protectors,key_protector_type,integer,An unsigned integer that specifies the type of key protector. See https://learn.microsoft.com/en-us/windows/win32/secprov/getkeyprotectors-win32-encryptablevolume#parameters for a list of possible values. 
containerd_containers,namespace,text,Namespace of the container.
containerd_containers,id,text,Container ID.
containerd_containers,image,text,Image name.
containerd_containers,image_digest,text,Image digest (SHA256).
containerd_containers,state,text,"Container state (e.g. running, stopped)."
containerd_containers,created,integer,Unix timestamp of when the container was created.
containerd_containers,runtime,text,Name of the container runtime (e.g. io.containerd.runc.v2).
containerd_containers,command,text,Command used to start the container.
containerd_containers,pid,integer,PID of the container process.
puppet_info,cached_catalog_status,text,The status of Puppet catalogs cached on the system.
puppet_info,catalog_uuid,text,The [UUID](https://en.wikipedia.org/wiki/Universally_unique_identifier) of the catalog downloaded by Puppet.
puppet_info,code_id,text,The `code_id` links the catalog with the compile-time version of file resources using the `puppet:///` URI.
puppet_info,configuration_version,text,The version of the Puppet configuration.
puppet_info,corrective_change,text,A corrective change is triggered when Puppet detects a discrepency between the current state and the expected state of a value.
puppet_info,environment,text,The environment name.
puppet_info,host,text,The host on which Puppet is used.
puppet_info,kind,text,Kind of Puppet run.
puppet_info,master_used,text,The Puppet server used.
puppet_info,noop,text,Indicates if Puppet was run in [noop](https://puppet.com/docs/puppet/latest/metaparameter.html#noop) mode.
puppet_info,noop_pending,text,Items pending from a [noop](https://puppet.com/docs/puppet/latest/metaparameter.html#noop) run.
puppet_info,puppet_version,text,The version of Puppet used during the last run.
puppet_info,report_format,text,The format the Puppet report was exported as.
puppet_info,status,text,The status of Puppet on this system.
puppet_info,time,text,The time of the last Puppet run.
puppet_info,transaction_completed,text,Indicates if the transaction completed or not.
puppet_info,transaction_uuid,text,The [UUID](https://en.wikipedia.org/wiki/Universally_unique_identifier) of the transaction.
falconctl_options,options,text,"The falconctl options to run. Supported values are listed here: `--aid`, `--apd`,`--aph`, `--app`, `--cid`, `--feature`, `--metadata-query`, `--rfm-reason`,`--rfm-state`, `--tags`, `--version`"
yum_sources,pid_with_namespace,,
sofa_security_release_info,update_name,text,"The name of the release, like ""macOS Sonoma 14.4.1"""
sofa_security_release_info,product_version,text,"The version corresponding to this security release, like ""14.4.1"""
sofa_security_release_info,release_date,text,The date the release was made available
sofa_security_release_info,security_info,text,The URL to the information for this release
sofa_security_release_info,unique_cves_count,integer,The number of unique CVEs addressed in this release
sofa_security_release_info,days_since_previous_release,integer,The number of days since the previous (older) release
sofa_security_release_info,os_version,text,"If not specified, this is the version of the operating system that the device is running"
chrome_extension_content_scripts,uid,,
app_sso_platform,extension_identifier,text,"Extension identifier of the Platform SSO extension (e.g. ""com.microsoft.CompanyPortalMac.ssoextension"")."
app_sso_platform,realm,text,"Realm of the user that logged via Platform SSO (e.g. ""KERBEROS.MICROSOFTONLINE.COM"")."
app_sso_platform,device_id,text,"Device ID extracted from ""Device Configuration"" -> ""deviceSigningCertificate"" -> Subject -> CommonName."
app_sso_platform,user_principal_name,text,User principal name of the user that logged in via Platform SSO.
cryptsetup_luks_salt,device,text,"The device path used for querying the LUKS metadata, e.g. `/dev/vda3`"
cryptsetup_luks_salt,key_slot,text,A 'key slot' that indicates where in the LUKS metadata header the user key is stored.
cryptsetup_luks_salt,salt,text,Salt used during the encryption process of the LUKS user key.
groups,group_sid,,
groups,comment,,
groups,is_hidden,,
groups,pid_with_namespace,,
etc_hosts,pid_with_namespace,,
vscode_extensions,name,text,Extension Name
vscode_extensions,uuid,text,Extension UUID
vscode_extensions,version,text,Extension version
vscode_extensions,path,text,Extension path
vscode_extensions,publisher,text,Publisher Name
vscode_extensions,publisher_id,text,Publisher ID
vscode_extensions,installed_at,bigint,Installed Timestamp
vscode_extensions,prerelease,integer,Pre release version
vscode_extensions,uid,bigint,The local user that owns the plugin
apt_sources,pid_with_namespace,,
file,attributes,,
file,volume_serial,,
file,file_id,,
file,file_version,,
file,product_version,,
file,original_filename,,
file,bsd_flags,,
file,pid_with_namespace,,
file,mount_namespace_id,,
csrutil_info,ssv_enabled,integer,"Sealed System Volume is a security feature introduced in macOS 11.0 Big Sur. During system installation, a SHA-256 cryptographic hash is calculated for all immutable system files and stored in a Merkle tree which itself is hashed as the Seal. Both are stored in the metadata of the snapshot created of the System volume. The seal is verified by the boot loader at startup. macOS will not boot if system files have been tampered with. If validation fails, the user will be instructed to reinstall the operating system. During read operations for files located in the Sealed System Volume, a hash is calculated and compared to the value stored in the Merkle tree."
file_lines,path,text,Path of the file to read.
file_lines,line,text,"Output of the file, line by line."
tcc_access,source,text,"Either ""user"" or ""system""."
tcc_access,uid,integer,The local user the permissions are for.  `0` for the system (root) user.
tcc_access,service,text,The name of the TCC service.
tcc_access,client,text,The bundle identifier or absolute path to the program using the TCC service.
tcc_access,client_type,integer,Indicates whether client is a bundle identifier (0) or absolute path (1).
tcc_access,auth_value,integer,"Indicates whether the access is: denied (0), unknown (1), allowed (2), or limited (3)."
tcc_access,auth_reason,integer,TODO
tcc_access,last_modified,bigint,"The last time the entry was modified, in epoch seconds."
tcc_access,policy_id,integer,The MDM policy that allows TCC access for the application.
tcc_access,indirect_object_identifier,text,"For kTCCServiceAppleEvents, what the client is asking to interact with, or ""UNUSED"" when it doesn't apply. Absolute path or bundle identifier."
tcc_access,indirect_object_identifier_type,integer,"Indicates whether indirect_object_identifier is a bundle identifier (0) or absolute path (1), if applicable."
parse_xml,path,text,Path of the file to read.
parse_xml,fullkey,text,Key including any parent keys.
parse_xml,parent,text,Parent key when keys are nested in the document.
parse_xml,key,text,XML key
parse_xml,value,text,XML value
macos_user_profiles,description,text,The description of the profile.
macos_user_profiles,display_name,text,The display name of the profile.
macos_user_profiles,identifier,text,The identifier of the profile.
macos_user_profiles,install_date,text,Date and time at which the profile was installed.
macos_user_profiles,organization,text,The profile's organization value.
macos_user_profiles,type,text,The type of profile.
macos_user_profiles,uuid,text,The [UUID](https://en.wikipedia.org/wiki/Universally_unique_identifier) of the profile.
macos_user_profiles,verification_state,text,The verification state of the profile.
macos_user_profiles,username,text,The username for which the profile is installed.
windows_updates,locale,text,Location of the update.
windows_updates,is_default,text,Whether or not the update is the default.
windows_updates,key,text,A specific item that describes the update.
windows_updates,value,text,The value for the specified key.
windows_updates,fullkey,text,The expanded name of the specific item that describes the update.
windows_updates,parent,text,The key's parent.
windows_updates,query,text,The query is printed in this column.
macos_rsr,full_macos_version,text,Full macOS version string (including the RSR suffix)
macos_rsr,macos_version,text,The macOS version string (excluding the RSR suffix)
macos_rsr,rsr_supported,text,Whether this macOS version supports RSRs (>= 13). Possible values are 'true' or 'false'.
macos_rsr,rsr_version,text,RSR version string suffix (with parenthesis included)
sudo_info,json_result,text,A JSON document with the key value pairs parsed from `sudo -V` output.
dscl,command,text,"The dscl command to execute, only ""read"" is currently supported."
dscl,path,text,The path to use in the read command.
dscl,key,text,The key to query on the read command and path.
dscl,value,text,The value of the read path and key. The value is the empty string if the key doesn't exist.
system_info,cpu_subtype,,
system_info,cpu_physical_cores,,
system_info,cpu_logical_cores,,
system_info,cpu_microcode,,
system_info,hardware_version,,
system_info,board_vendor,,
system_info,board_model,,
system_info,board_version,,
system_info,board_serial,,
system_info,local_hostname,,
system_info,hostname,text,"Network hostname including domain. For ChromeOS, this is only available if the extension was force-installed by an enterprise policy"
system_info,computer_name,text,"Friendly computer name (optional). For ChromeOS, if the extension wasn't force-installed by an enterprise policy this will default to 'ChromeOS' only"
system_info,hardware_serial,text,"The device's serial number. For ChromeOS, this is only available if the extension was force-installed by an enterprise policy"
system_info,hardware_vendor,text,"Hardware vendor. For ChromeOS, this is only available if the extension was force-installed by an enterprise policy"
system_info,hardware_model,text,"Hardware model. For ChromeOS, this is only available if the extension was force-installed by an enterprise policy"
system_info,cpu_brand,text,
system_info,cpu_type,text,
system_info,physical_memory,text,
macos_profiles,description,text,The description of the profile.
macos_profiles,display_name,text,The display name of the profile.
macos_profiles,identifier,text,The identifier of the profile.
macos_profiles,install_date,text,Date and time at which the profile was installed.
macos_profiles,organization,text,The profile's organization value.
macos_profiles,type,text,The type of profile.
macos_profiles,uuid,text,The [UUID](https://en.wikipedia.org/wiki/Universally_unique_identifier) of the profile.
macos_profiles,verification_state,text,The verification state of the profile.
interface_details,link_speed,,
interface_details,pci_slot,,
interface_details,friendly_name,,
interface_details,description,,
interface_details,manufacturer,,
interface_details,connection_id,,
interface_details,connection_status,,
interface_details,enabled,,
interface_details,physical_adapter,,
interface_details,speed,,
interface_details,service,,
interface_details,dhcp_enabled,,
interface_details,dhcp_lease_expires,,
interface_details,dhcp_lease_obtained,,
interface_details,dhcp_server,,
interface_details,dns_domain,,
interface_details,dns_domain_suffix_search_order,,
interface_details,dns_host_name,,
interface_details,dns_server_search_order,,
dns_resolvers,pid_with_namespace,,
password_policy,policy_description,text,"Policy description, such as `Contain at least 10 characters.`"
password_policy,policy_content,text,"Policy content, such as `policyAttributePassword matches '.{10,}'`."
password_policy,policy_identifier,text,"Policy identifier, such as `ProfilePayload:1d33ef8c-da1c-4534-8458-95a4d43d849e:minLength`."
password_policy,uid,bigint,User ID for the policy. Returns `-1` if the policy applies to all users.
disk_encryption,uid,,
disk_encryption,user_uuid,,
disk_encryption,filevault_status,,
user_login_settings,password_hint_enabled,integer,"whether password hint is enabled for any user. 1 means one or more users has a password hint set, 0 means no user has a password hint set"
known_hosts,uid,,
sntp_request,server,text,Address of the SNTP server to query.
sntp_request,timestamp_ms,bigint,Timestamp returned by the SNTP server in milliseconds.
sntp_request,clock_offset_ms,bigint,Offset between the host's time and the SNTP time in milliseconds.
ioreg,c,text,List properties of objects with the given class.
ioreg,d,text,Limit tree to the given depth.
ioreg,k,text,List properties of objects with the given key.
ioreg,n,text,List properties of objects with the given name.
ioreg,p,text,Traverse registry over the given plane (IOService is default).
ioreg,r,text,Show subtrees rooted by the given criteria.
ioreg,key,text,A specific item that describes the returned value.
ioreg,value,text,The value for the specified key.
ioreg,fullkey,text,The expanded name of the specific item that describes the value.
ioreg,parent,text,The key's parent.
ioreg,query,text,The query is printed in this column.
geolocation,ip,text,IP address
geolocation,city,text,City
geolocation,country,text,Country
geolocation,region,text,Region
corestorage_logical_volumes,vg_UUID,text,The unique identifier of the containing volume group
corestorage_logical_volumes,vg_Version,integer,"The version of the volume group, probably 1"
corestorage_logical_volumes,vg_FreeSpace,bigint,"Amount of space, in bytes, in the volume group that have not been allocated by any logical volume"
corestorage_logical_volumes,vg_FusionDrive,integer,"Whether the volume group is a ""fusion drive"" (i.e. SSHD)"
corestorage_logical_volumes,vg_Name,text,The customizable name of the volume group
corestorage_logical_volumes,vg_Sequence,bigint,Current sequence number of the volume group
corestorage_logical_volumes,vg_Size,bigint,Total (i.e. either allocated or unallocated) size of the volume group
corestorage_logical_volumes,vg_Sparse,integer,Whether the volume group allows overcommitting storage
corestorage_logical_volumes,vg_Status,text,"Status of the volume group, e.g. ""Online"""
corestorage_logical_volumes,lvf_UUID,text,Unique ID of the logical volume family
corestorage_logical_volumes,lvf_EncryptionStatus,text,"Unlock status of the logical volume family, e.g. ""Locked"" or ""Unlocked"""
corestorage_logical_volumes,lvf_EncryptionType,text,"Encryption algorithm for the logical volume family, normally ""AES-XTS"" or ""None"""
corestorage_logical_volumes,lvf_HasVisibleUsers,integer,Undocumented field returned from `diskutil cs info`
corestorage_logical_volumes,lvf_HasVolumeKey,integer,Whether there is an encryption key assigned for the logical volume
corestorage_logical_volumes,lvf_IsAcceptingNewUsers,integer,Whether new users may be granted access to the logical volume family encryption key
corestorage_logical_volumes,lvf_IsFullySecure,integer,Undocumented field returned from `diskutil cs info`
corestorage_logical_volumes,lvf_MayHaveEncryptedEvents,integer,Undocumented field returned from `diskutil cs info`
corestorage_logical_volumes,lvf_RequiresPasswordUnlock,integer,Whether a password is currently required to unlock the volume
corestorage_logical_volumes,ContentHint,text,"What type of filesystem is on the logical volume, as written in metadata, e.g. ""Apple_HFS"""
corestorage_logical_volumes,ConverstionProgressPercent,integer,"How far the current conversion status has progressed, either empty or 0-100"
corestorage_logical_volumes,ConversionState,text,"Status of the conversion, e.g. from HFS+ to CoreStorage or encrypting a volume"
corestorage_logical_volumes,Name,text,Name of the logical volume
corestorage_logical_volumes,Sequence,bigint,Sequence number of the logical volume
corestorage_logical_volumes,Size,bigint,Size of the logical volume in bytes
corestorage_logical_volumes,Status,text,"Lock status of the logical volume, e.g. ""Locked"""
corestorage_logical_volumes,Version,bigint,"CoreStorage version of the logical volume, normally 65536"
